,Importance
counter_name,0.035730712
hour,0.048750903
dayofweek,0.010408598
quarter,0.01225349
month,0.010369882
dayofyear,0.012185563
is_weekend,0.016446162
hour_sin,0.027827889
hour_cos,0.36616108
dayofweek_sin,0.003954096
dayofweek_cos,0.005139563
is_holiday,0.0011546409
lockdown_1,0.0
lockdown_2,0.0048520435
lockdown_3_1,0.0073864153
lockdown_3_2,0.0046161916
lockdown_3_3,0.005366884
pmer,0.0023545197
tend,0.0033128096
cod_tend,0.0072110193
dd,0.0014164131
ff,0.0018193095
t,0.022288162
td,0.0035405704
u,0.017714648
vv,0.0030704392
ww,0.0034143482
w1,0.003674661
w2,0.0023753273
n,0.004334209
nbas,0.0025026507
hbas,0.0018786856
cl,0.0020111103
cm,0.0019076739
ch,0.0019915472
pres,0.0022120555
tend24,0.0038054492
raf10,0.0021437227
rafper,0.001812518
etat_sol,0.017084295
ht_neige,0.0022535166
ssfrai,0.0018150517
rr1,0.0030250403
rr3,0.0020765476
rr6,0.002009525
rr12,0.0029276665
rr24,0.0035783676
nnuage1,0.0019951886
ctype1,0.0017617707
hnuage1,0.003475491
temp_humidity_interaction,0.009526373
t_lag6h,0.0070673763
t_lag9h,0.0115461275
t_lag12h,0.012372383
t_lag24h,0.0137482835
t_lag168h,0.007616727
td_lag6h,0.002540019
td_lag9h,0.002307148
td_lag12h,0.0037884896
td_lag24h,0.0027995773
td_lag168h,0.0038943149
u_lag6h,0.010778221
u_lag9h,0.01156932
u_lag12h,0.006543841
u_lag24h,0.005201677
u_lag168h,0.0035805826
ww_lag6h,0.0018405314
ww_lag9h,0.0030922757
ww_lag12h,0.0020603875
ww_lag24h,0.0012756702
ww_lag168h,0.0020846773
n_lag6h,0.0023861355
n_lag9h,0.0024411648
n_lag12h,0.0033139437
n_lag24h,0.002192799
n_lag168h,0.002410815
tend24_lag6h,0.0030019123
tend24_lag9h,0.0020484587
tend24_lag12h,0.0021849626
tend24_lag24h,0.001728713
tend24_lag168h,0.0020478931
etat_sol_lag6h,0.00606594
etat_sol_lag9h,0.003516016
etat_sol_lag12h,0.003860867
etat_sol_lag24h,0.0035210405
etat_sol_lag168h,0.002441805
rr12_lag6h,0.0021742848
rr12_lag9h,0.0023914627
rr12_lag12h,0.001994679
rr12_lag24h,0.0017416725
rr12_lag168h,0.002433857
temp_hour_interaction,0.09209271
humidity_day_interaction,0.017376456
